Name,Survival,Fare,Age,PassengerClass,No_of_siblings_plus_spouses_on_board,No_of_parents_plus_children_on_board,Sex_female,Sex_male,Sex_nan,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unkown,Embarked_Cherbourg,Embarked_Queenstown,Embarked_Southampton,Embarked_Unknown
"Braund, Mr. Owen Harris",0,7.25,22.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Heikkinen, Miss. Laina",1,7.925,26.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Allen, Mr. William Henry",0,8.05,35.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Moran, Mr. James",0,8.4583,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"McCarthy, Mr. Timothy J",0,51.8625,54.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Sandstrom, Miss. Marguerite Rut",1,16.7,4.0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Bonnell, Miss. Elizabeth",1,26.55,58.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Andersson, Mr. Anders Johan",0,31.275,39.0,3,1,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Hewlett, Mrs. (Mary D Kingcome) ",1,16.0,55.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Rice, Master. Eugene",0,29.125,2.0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Williams, Mr. Charles Eugene",1,13.0,-999.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,18.0,31.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Masselmani, Mrs. Fatima",1,7.225,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Fynney, Mr. Joseph J",0,26.0,35.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Beesley, Mr. Lawrence",1,13.0,34.0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"McGowan, Miss. Anna ""Annie""",1,8.0292,15.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Sloper, Mr. William Thompson",1,35.5,28.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Palsson, Miss. Torborg Danira",0,21.075,8.0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Emir, Mr. Farred Chehab",0,7.225,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Fortune, Mr. Charles Alexander",0,263.0,19.0,1,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"O'Dwyer, Miss. Ellen ""Nellie""",1,7.8792,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Todoroff, Mr. Lalio",0,7.8958,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Uruchurtu, Don. Manuel E",0,27.7208,40.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Spencer, Mrs. William Augustus (Marie Eugenie)",1,146.5208,-999.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Wheadon, Mr. Edward H",0,10.5,66.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Holverson, Mr. Alexander Oskar",0,52.0,42.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Mamee, Mr. Hanna",1,7.2292,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Cann, Mr. Ernest Charles",0,8.05,21.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Vander Planke, Miss. Augusta Maria",0,18.0,18.0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Nicola-Yarred, Miss. Jamila",1,11.2417,14.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,9.475,40.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,21.0,27.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Laroche, Miss. Simonne Marie Anne Andree",1,41.5792,3.0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Rogers, Mr. William John",0,8.05,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Lennon, Mr. Denis",0,15.5,-999.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"O'Driscoll, Miss. Bridget",1,7.75,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Samaan, Mr. Youssef",0,21.6792,-999.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Panula, Master. Juha Niilo",0,39.6875,7.0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Nosworthy, Mr. Richard Cater",0,7.8,21.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,76.7292,49.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,26.0,29.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Ostby, Mr. Engelhart Cornelius",0,61.9792,65.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Woolner, Mr. Hugh",1,35.5,-999.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Novel, Mr. Mansouer",0,7.2292,28.5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"West, Miss. Constance Mirium",1,27.75,5.0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Goodwin, Master. William Frederick",0,46.9,11.0,3,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Sirayanian, Mr. Orsen",0,7.2292,22.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Icard, Miss. Amelie",1,80.0,38.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Stewart, Mr. Albert A",0,27.7208,-999.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Moubarek, Master. Gerios",1,15.2458,-999.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Nye, Mrs. (Elizabeth Ramell)",1,10.5,29.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Crease, Mr. Ernest James",0,8.1583,19.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Andersson, Miss. Erna Alexandra",1,7.925,17.0,3,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
